序号,埋点信息,页面标识,埋点事件,st_pk_id,st_event_name,st_event_datetime,st_status
1,注册成功,,log_register_server,14d8be14-6d39-41ed-b034-77a3687751b1,log_register_server,2026-07-11 15:18:19,1
2,注册失败-后端,,log_register_failed_server,19f10b4d-48e8-4e4d-aebb-bcabcce30b3e,log_register_failed_server,2026-07-11 15:20:10,1
3,注册失败-前端,,log_register_failed_client,03ec78cc-25b0-42d6-8575-96ab50c99c1a,log_register_failed_client,2026-07-11 15:20:11,1
4,登录成功,,log_login_server,e2743524-bfa4-4a90-b74a-3403be1dcb55,log_login_server,2026-07-11 15:21:50,1
5,登录失败-后端,,log_login_failed_server,f51a29cd-75d1-4780-9341-9b5440aada7e,log_login_failed_server,2026-07-11 15:20:58,1
6,登录失败-前端,,log_login_failed_client,22bb0585-8ad7-42be-997f-fdf54092bfdc,log_login_failed_client,2026-07-11 15:20:58,1
7,apikey状态变动,,log_apikey_server,ab3a46c7-b9ec-4b54-ac87-2ecfade6c263,log_apikey_server,2026-07-11 12:32:19,1
8,调用模型api,,log_api_call_server,f326154f-0c34-4ae4-9db6-238f4b45d79e,log_api_call_server,2026-07-11 15:23:49,1
9,token消耗日志,,log_token_consume_server,700e7e81-bd85-4b73-9ebc-6e81836a886d,log_token_consume_server,2026-07-11 15:24:05,1
10,模型api调用失败,,log_api_call_failed_server,5e676fcb-a08a-41f8-97ff-5192b81b8172,log_api_call_failed_server,2026-07-11 15:04:13,1
11,积分（credits）变动,,log_credits_server,5ba30183-59d5-4eaa-9acf-d255833de0f9,log_credits_server,2026-07-11 15:24:05,1
12,"重要接口查询
# 本次只记录：
1. pricing涉及展示价格的接口
2. usage涉及展示数据的接口
3. Request Logs中展示数据的接口",,log_interface_client,93dd4ab0-4cc0-4f87-ab01-5a52c1a955de,log_interface_client,2026-07-11 15:23:26,1
13,公共首页-曝光,public_home_page,log_page_expose_client,536c0560-a654-40a1-b3ab-7e56a5d3fbe8,log_page_expose_client,2026-07-11 15:19:49,1
14,公共首页-横幅点击,public_home_page,log_click_client,92ff9eed-d9ac-444b-bb86-36555cc7cea6,log_click_client,2026-07-11 15:19:51,1
15,公共首页-奖励任务弹窗曝光,public_home_page,log_element_expose_client,b3a98ee9-81f1-444e-9b8a-7a56d8ecbe56,log_element_expose_client,2026-07-11 15:19:51,1
16,公共首页-奖励任务弹窗任务点击,public_home_page,log_click_client,a7388e2d-8a88-4501-935e-67bb98f05165,log_click_client,2026-07-11 15:19:53,1
17,公共首页-顶部导航点击,public_home_page,log_click_client,f2cfa934-a48a-49a0-b72d-d42439cfceee,log_click_client,2026-07-11 15:25:58,1
18,公共首页-中间内容点击,public_home_page,log_click_client,5b02b193-051b-4fd0-bbd5-8e3b526fb2dd,log_click_client,2026-07-11 14:17:46,1
19,公共首页-底部导航点击,public_home_page,log_click_client,2e642275-6315-4b87-afa1-b8d357d5fb16,log_click_client,2026-07-11 15:19:23,1
20,公共首页-模型点击,public_home_page,log_click_client,5b02b193-051b-4fd0-bbd5-8e3b526fb2dd,log_click_client,2026-07-11 14:17:46,1
