st_save_date,st_event_name,st_event_date,st_kafka_offset,st_source_type,st_app_key,st_raw_message,st_available_message,st_status,st_error_type,st_error_info,st_report_time,st_update_at,st_save_time
2026-07-10,log_page_expose_client,2026-07-10,5_621,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_country"":""台湾"",""st_city"":""台北市"",""st_user_id"":""00007326-0c52-412a-96b4-0e03c0988e1f"",""st_province"":""台北市"",""st_save_time"":1783653659,""st_event_name"":""log_page_expose_client"",""st_extend_info"":""{\""system_time\"":1783653658776,\""local_time\"":1783653658829,\""diff\"":-53}"",""st_country_code"":""TW"",""st_pk_id"":""2a2959fb-8dc9-42c7-b7f5-89bf65de2ad6"",""st_unique_id"":""2a162d89-17ea-4079-a93b-b4c3994e5a2d"",""st_account_id"":"""",""st_system_language"":""ZH-CN"",""st_ip"":""185.220.236.70"",""st_role_id"":"""",""st_distinct_id"":""10e487de-e224-4a6b-b3bf-fa5932021fbf"",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""properties"":{""adid"":"""",""current_page_name"":""public_model_page"",""current_page_url"":""http://localhost:3000/en/models"",""extend"":"""",""platform_type"":""web"",""ref_page_url"":""""},""st_event_time"":1783653658829,""st_os"":""PC""}",,1,,{},1783653660979,2026-07-10 03:21:01.036466,1783653659000
2026-07-10,log_element_expose_client,2026-07-10,7_617,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_role_id"":"""",""st_city"":""台北市"",""st_user_id"":""00007326-0c52-412a-96b4-0e03c0988e1f"",""st_event_time"":1783653658829,""st_event_name"":""log_element_expose_client"",""st_country_code"":""TW"",""st_distinct_id"":""10e487de-e224-4a6b-b3bf-fa5932021fbf"",""st_account_id"":"""",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_unique_id"":""18691eb8-5293-47fa-a657-918066258103"",""st_ip"":""185.220.236.70"",""st_os"":""PC"",""st_save_time"":1783653659,""properties"":{""element_pos"":""middle_content"",""current_page_name"":""public_model_page"",""current_page_url"":""http://localhost:3000/en/models"",""platform_type"":""web"",""element_module"":""model_expose"",""extend"":"""",""element_content"":""[{\""model_id\"":\""kling-v2-6-motion-control\"",\""pos\"":0},{\""model_id\"":\""kling-v1-6-t2v\"",\""pos\"":1},{\""model_id\"":\""kling-v1-i2v\"",\""pos\"":2}]"",""element_name"":""model_card_expose"",""adid"":"""",""ref_page_url"":""""},""st_extend_info"":""{\""system_time\"":1783653658777,\""local_time\"":1783653658830,\""diff\"":-53}"",""st_system_language"":""ZH-CN"",""st_country"":""台湾"",""st_pk_id"":""598428d2-48b4-4a43-9fec-b222a6365db8"",""st_province"":""台北市""}",,1,,{},1783653660979,2026-07-10 03:21:01.036617,1783653659000
2026-07-10,log_element_expose_client,2026-07-10,3_613,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_role_id"":"""",""st_unique_id"":""8cade445-9151-4ff2-a0bb-88c28d0e19ad"",""st_distinct_id"":""10e487de-e224-4a6b-b3bf-fa5932021fbf"",""st_province"":""台北市"",""st_city"":""台北市"",""st_save_time"":1783653662,""st_event_name"":""log_element_expose_client"",""st_os"":""PC"",""st_user_id"":""00007326-0c52-412a-96b4-0e03c0988e1f"",""st_ip"":""185.220.236.70"",""st_country"":""台湾"",""st_account_id"":"""",""st_country_code"":""TW"",""properties"":{""extend"":"""",""current_page_url"":""http://localhost:3000/en/models"",""element_module"":""model_expose"",""adid"":"""",""element_content"":""[{\""model_id\"":\""tencent-hunyuan-3d\"",\""pos\"":4},{\""model_id\"":\""kling-video-extend\"",\""pos\"":5}]"",""platform_type"":""web"",""ref_page_url"":"""",""element_name"":""model_card_expose"",""element_pos"":""middle_content"",""current_page_name"":""public_model_page""},""st_extend_info"":""{\""system_time\"":1783653661910,\""local_time\"":1783653661963,\""diff\"":-53}"",""st_event_time"":1783653661963,""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_pk_id"":""4968386f-c0c6-4da4-a42c-80f264602c7c"",""st_system_language"":""ZH-CN""}",,1,,{},1783653664290,2026-07-10 03:21:04.338512,1783653662000
2026-07-10,log_element_expose_client,2026-07-10,1_603,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_event_name"":""log_element_expose_client"",""st_ip"":""185.220.236.70"",""st_country"":""台湾"",""st_os"":""PC"",""st_system_language"":""ZH-CN"",""st_extend_info"":""{\""system_time\"":1783653661588,\""local_time\"":1783653661641,\""diff\"":-53}"",""st_unique_id"":""6259b67e-176e-475e-a748-5d03574d553b"",""st_city"":""台北市"",""st_province"":""台北市"",""st_pk_id"":""a1356ad3-bf67-452f-b1b0-598cb934bd42"",""properties"":{""ref_page_url"":"""",""current_page_name"":""public_model_page"",""platform_type"":""web"",""element_module"":""model_expose"",""adid"":"""",""current_page_url"":""http://localhost:3000/en/models"",""extend"":"""",""element_content"":""[{\""model_id\"":\""viduq1-text2video\"",\""pos\"":6},{\""model_id\"":\""seedance-2-0-mini\"",\""pos\"":7},{\""model_id\"":\""qwen-plus-2025-09-11\"",\""pos\"":8},{\""model_id\"":\""gpt-5.4-mini\"",\""pos\"":9},{\""model_id\"":\""kling-v2-multi-image2image\"",\""pos\"":10},{\""model_id\"":\""wan2.6-t2i\"",\""pos\"":11},{\""model_id\"":\""kling-text-to-audio\"",\""pos\"":12},{\""model_id\"":\""gpt-5-mini\"",\""pos\"":13},{\""model_id\"":\""kling-v1-6-multi-i2v\"",\""pos\"":14}]"",""element_name"":""model_card_expose"",""element_pos"":""middle_content""},""st_country_code"":""TW"",""st_account_id"":"""",""st_distinct_id"":""10e487de-e224-4a6b-b3bf-fa5932021fbf"",""st_role_id"":"""",""st_save_time"":1783653662,""st_event_time"":1783653661641,""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_user_id"":""00007326-0c52-412a-96b4-0e03c0988e1f""}",,1,,{},1783653664290,2026-07-10 03:21:04.338655,1783653662000
2026-07-10,log_element_expose_client,2026-07-10,7_618,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_extend_info"":""{\""system_time\"":1783653662252,\""local_time\"":1783653662305,\""diff\"":-53}"",""st_country_code"":""TW"",""st_city"":""台北市"",""st_event_name"":""log_element_expose_client"",""st_account_id"":"""",""st_country"":""台湾"",""st_province"":""台北市"",""st_os"":""PC"",""st_save_time"":1783653669,""st_user_id"":""00007326-0c52-412a-96b4-0e03c0988e1f"",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_role_id"":"""",""st_pk_id"":""82e724b7-64b3-4d93-a3cf-cb54120fda74"",""st_unique_id"":""4618ff52-e009-44c6-9167-a8be8187496a"",""st_event_time"":1783653662305,""st_ip"":""185.220.236.70"",""st_distinct_id"":""10e487de-e224-4a6b-b3bf-fa5932021fbf"",""st_system_language"":""ZH-CN"",""properties"":{""element_pos"":""middle_content"",""current_page_url"":""http://localhost:3000/en/models"",""extend"":"""",""platform_type"":""web"",""element_module"":""model_expose"",""ref_page_url"":"""",""element_content"":""[{\""model_id\"":\""midjourney-uploadpaint\"",\""pos\"":3}]"",""adid"":"""",""element_name"":""model_card_expose"",""current_page_name"":""public_model_page""}}",,1,,{},1783653670985,2026-07-10 03:21:11.042653,1783653669000
2026-07-10,log_page_expose_client,2026-07-10,6_625,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_country_code"":""US"",""st_event_name"":""log_page_expose_client"",""st_unique_id"":""beffafba-85e8-4408-81e7-1d0f9b0ab5f4"",""st_user_id"":""0000fa40-0df9-44ca-946c-db28435cc9b4"",""st_os"":""PC"",""st_city"":""洛杉矶"",""st_pk_id"":""81d81cd0-4b48-44aa-aef4-629d26513d40"",""st_distinct_id"":""dcfd4584-3dcf-4053-bc6d-9cb8357e0926"",""st_save_time"":1783653704,""st_system_language"":""ZH-CN"",""st_ip"":""203.10.97.3"",""st_country"":""美国"",""st_province"":""加州"",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_account_id"":""7"",""st_role_id"":""7"",""st_extend_info"":""{\""system_time\"":1783653703947,\""local_time\"":1783653704049,\""diff\"":-102}"",""st_event_time"":1783653704048,""properties"":{""current_page_url"":""https://odirouter.ai/en/dashboard/models"",""extend"":"""",""platform_type"":""web"",""ref_page_url"":""https://odirouter.ai/en/dashboard/models/gpt-5~dot~5?category=LLM\u0026kind=llm"",""adid"":"""",""current_page_name"":""model_page""}}",,1,,{},1783653706011,2026-07-10 03:21:46.064306,1783653704000
2026-07-10,log_interface_client,2026-07-10,7_672,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_pk_id"":""f5c32923-2fe1-4023-9586-f28628ad3e52"",""properties"":{""status"":""yes"",""current_page_name"":""pricing_page"",""current_page_url"":""https://odirouter.ai/en/dashboard/pricing"",""extend"":"""",""adid"":"""",""api_url"":""/api/pricing"",""request_id"":""pricing-1"",""ref_page_url"":""https://odirouter.ai/en/dashboard/models"",""response_time"":""537"",""platform_type"":""web""},""st_country"":""新加坡"",""st_os"":""PC"",""st_role_id"":""15"",""st_event_name"":""log_interface_client"",""st_system_language"":""ZH-CN"",""st_save_time"":1783657110,""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_unique_id"":""f0ad642b-e9b6-47bd-ba67-501b075307a2"",""st_city"":""新加坡"",""st_event_time"":1783657100985,""st_ip"":""188.253.121.109"",""st_province"":"""",""st_user_id"":""0000ff57-359d-4bbe-8fc0-70f4f6d322a2"",""st_country_code"":""SG"",""st_account_id"":""15"",""st_distinct_id"":""e8e7d587-2379-4ee7-8bdb-b8c220a1f257"",""st_extend_info"":""{\""system_time\"":1783657100868,\""local_time\"":1783657100985,\""diff\"":-117}""}","{""st_pk_id"":""f5c32923-2fe1-4023-9586-f28628ad3e52"",""st_country"":""新加坡"",""st_os"":""PC"",""st_role_id"":""15"",""st_event_name"":""log_interface_client"",""st_system_language"":""ZH-CN"",""st_save_time"":1783657110,""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_unique_id"":""f0ad642b-e9b6-47bd-ba67-501b075307a2"",""st_city"":""新加坡"",""st_event_time"":1783657100985,""st_ip"":""188.253.121.109"",""st_province"":"""",""st_user_id"":""0000ff57-359d-4bbe-8fc0-70f4f6d322a2"",""st_country_code"":""SG"",""st_account_id"":""15"",""st_distinct_id"":""e8e7d587-2379-4ee7-8bdb-b8c220a1f257"",""st_extend_info"":""{\""system_time\"":1783657100868,\""local_time\"":1783657100985,\""diff\"":-117}"",""status"":""yes"",""extend"":"""",""adid"":"""",""api_url"":""/api/pricing"",""request_id"":""pricing-1"",""response_time"":""537"",""platform_type"":""web"",""st_kafka_offset"":""7_672"",""st_update_at"":""2026-07-10 04:18:32"",""st_event_datetime"":""2026-07-10 04:18:20"",""st_date_part"":""2026-07-10""}",3,3,"{""3"":[""属性名【current_page_name】在埋点方案中不存在"",""属性名【ref_page_url】在埋点方案中不存在"",""属性名【current_page_url】在埋点方案中不存在""]}",1783657112264,2026-07-10 04:18:32.323700,1783657110000
2026-07-10,log_page_expose_client,2026-07-10,9_612,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_event_name"":""log_page_expose_client"",""st_extend_info"":""{\""system_time\"":1783657100333,\""local_time\"":1783657100450,\""diff\"":-117}"",""st_save_time"":1783657110,""st_user_id"":""0000ff57-359d-4bbe-8fc0-70f4f6d322a2"",""st_account_id"":""15"",""st_role_id"":""15"",""st_system_language"":""ZH-CN"",""st_unique_id"":""186a0272-63a0-42be-b55e-7574503f6ba2"",""st_country_code"":""SG"",""properties"":{""current_page_url"":""https://odirouter.ai/en/dashboard/pricing"",""extend"":"""",""platform_type"":""web"",""ref_page_url"":""https://odirouter.ai/en/dashboard/models"",""adid"":"""",""current_page_name"":""pricing_page""},""st_distinct_id"":""e8e7d587-2379-4ee7-8bdb-b8c220a1f257"",""st_os"":""PC"",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_city"":""新加坡"",""st_country"":""新加坡"",""st_event_time"":1783657100449,""st_ip"":""188.253.121.109"",""st_province"":"""",""st_pk_id"":""ee10d54b-fc4b-44f3-889c-15e998a195d9""}",,1,,{},1783657112264,2026-07-10 04:18:32.323827,1783657110000
2026-07-10,log_page_expose_client,2026-07-10,5_664,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_pk_id"":""41ddeb17-0d9a-4f0e-967c-c03890727dc2"",""st_user_id"":""0000fc35-f511-48ac-9a93-199ae7ba5976"",""st_unique_id"":""4ffb83b6-305f-4c2f-8b32-cc5180d2027b"",""st_event_time"":1783657179137,""st_city"":""新加坡"",""st_country"":""新加坡"",""properties"":{""ref_page_url"":""https://odirouter.ai/en/dashboard/models/vidu-get-subjects?category=Video\u0026kind=multi\u0026utm_source=website\u0026channel=vc.ru"",""adid"":"""",""current_page_name"":""home_page"",""current_page_url"":""https://odirouter.ai/en/dashboard/home?utm_source=website\u0026channel=vc.ru"",""extend"":"""",""platform_type"":""web""},""st_role_id"":""14"",""st_os"":""PC"",""st_system_language"":""ZH-CN"",""st_distinct_id"":""e963a4f3-190f-4c19-93f5-778908172ce8"",""st_account_id"":""14"",""st_ip"":""188.253.121.101"",""st_event_name"":""log_page_expose_client"",""st_country_code"":""SG"",""st_save_time"":1783657180,""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_province"":"""",""st_extend_info"":""{\""system_time\"":1783657179330,\""local_time\"":1783657179137,\""diff\"":193}""}",,1,,{},1783657181310,2026-07-10 04:19:41.367207,1783657180000
2026-07-10,log_page_expose_client,2026-07-10,11_685,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_unique_id"":""65aafe4b-d079-4c7a-86df-fb9fb62c88ca"",""st_event_name"":""log_page_expose_client"",""st_city"":""新加坡"",""st_pk_id"":""a69e6442-8a4d-49a5-8461-f43679456a23"",""st_event_time"":1783657180830,""st_system_language"":""ZH-CN"",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_user_id"":""0000fc35-f511-48ac-9a93-199ae7ba5976"",""st_role_id"":""14"",""st_account_id"":""14"",""st_country"":""新加坡"",""st_ip"":""188.253.121.101"",""st_distinct_id"":""e963a4f3-190f-4c19-93f5-778908172ce8"",""st_extend_info"":""{\""system_time\"":1783657181023,\""local_time\"":1783657180830,\""diff\"":193}"",""st_save_time"":1783657184,""properties"":{""adid"":"""",""current_page_name"":""playground_page"",""current_page_url"":""https://odirouter.ai/en/dashboard/playground?utm_source=website\u0026channel=vc.ru"",""extend"":"""",""platform_type"":""web"",""ref_page_url"":""https://odirouter.ai/en/dashboard/home?utm_source=website\u0026channel=vc.ru""},""st_os"":""PC"",""st_country_code"":""SG"",""st_province"":""""}",,1,,{},1783657185787,2026-07-10 04:19:45.870048,1783657184000
