st_save_date,st_event_name,st_event_date,st_kafka_offset,st_source_type,st_app_key,st_raw_message,st_available_message,st_status,st_error_type,st_error_info,st_report_time,st_update_at,st_save_time
2026-07-11,log_interface_client,2026-07-11,2_1015,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_account_id"":""6"",""st_distinct_id"":""091ec7d4-cf76-4204-a2ce-71237dc135e2"",""properties"":{""platform_type"":""web"",""api_url"":""/api/data/flow/self"",""error_message"":"""",""request_id"":""usage-summary-1"",""response_time"":""189"",""status"":""yes"",""adid"":"""",""extend"":""""},""st_country_code"":""SG"",""st_unique_id"":""3728ad49-7822-4518-854b-2b5b920694c1"",""st_country"":""新加坡"",""st_save_time"":1783735503,""st_event_time"":1783735502100,""st_os"":""PC"",""st_extend_info"":""{\""system_time\"":1783735502828,\""local_time\"":1783735502711,\""diff\"":117}"",""st_city"":""新加坡"",""st_pk_id"":""0bf1e182-e138-41aa-9c0a-61b477c41ec0"",""st_province"":"""",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_role_id"":""6"",""st_system_language"":""ZH-CN"",""st_event_name"":""log_interface_client"",""st_ip"":""188.253.121.101"",""st_user_id"":""0000da95-3d1f-475c-aba1-948e59102038""}",,1,,{},1783735504992,2026-07-11 02:05:05.048032,1783735503000
2026-07-11,log_page_expose_client,2026-07-11,11_1093,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_pk_id"":""f2b53e66-8054-4c6e-8792-007bfcef1f60"",""st_os"":""PC"",""st_distinct_id"":""091ec7d4-cf76-4204-a2ce-71237dc135e2"",""st_event_name"":""log_page_expose_client"",""st_country_code"":""SG"",""st_user_id"":""0000da95-3d1f-475c-aba1-948e59102038"",""st_province"":"""",""st_save_time"":1783735503,""st_unique_id"":""f3f2f960-dbdf-46d3-a186-82175c6a264d"",""st_event_time"":1783735501723,""st_extend_info"":""{\""system_time\"":1783735502828,\""local_time\"":1783735502711,\""diff\"":117}"",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""properties"":{""platform_type"":""web"",""current_page_name"":""usage_page"",""current_page_url"":""https://odirouter.ai/en/dashboard/usage"",""ref_page_url"":""https://odirouter.ai/en/dashboard/usage"",""adid"":"""",""extend"":""""},""st_role_id"":""6"",""st_ip"":""188.253.121.101"",""st_account_id"":""6"",""st_city"":""新加坡"",""st_system_language"":""ZH-CN"",""st_country"":""新加坡""}",,1,,{},1783735504992,2026-07-11 02:05:05.048173,1783735503000
2026-07-11,log_interface_client,2026-07-11,1_1049,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_province"":"""",""st_distinct_id"":""091ec7d4-cf76-4204-a2ce-71237dc135e2"",""st_event_name"":""log_interface_client"",""st_role_id"":""6"",""st_ip"":""188.253.121.101"",""st_extend_info"":""{\""system_time\"":1783735502828,\""local_time\"":1783735502711,\""diff\"":117}"",""st_save_time"":1783735503,""properties"":{""extend"":"""",""platform_type"":""web"",""api_url"":""/api/user/self/log"",""error_message"":"""",""request_id"":""usage-history-1"",""response_time"":""190"",""status"":""yes"",""adid"":""""},""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_pk_id"":""9200e4da-2fe1-445e-9e52-b7761e6001d7"",""st_city"":""新加坡"",""st_os"":""PC"",""st_country"":""新加坡"",""st_user_id"":""0000da95-3d1f-475c-aba1-948e59102038"",""st_unique_id"":""dce6b7f9-c71f-4368-8483-59a955e710f5"",""st_country_code"":""SG"",""st_event_time"":1783735502100,""st_system_language"":""ZH-CN"",""st_account_id"":""6""}",,1,,{},1783735504994,2026-07-11 02:05:05.048249,1783735503000
2026-07-11,log_interface_client,2026-07-11,7_1096,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_city"":""新加坡"",""st_country"":""新加坡"",""st_extend_info"":""{\""system_time\"":1783735504408,\""local_time\"":1783735504276,\""diff\"":132}"",""st_event_time"":1783735503976,""st_role_id"":""6"",""st_ip"":""188.253.121.101"",""st_save_time"":1783735505,""st_province"":"""",""st_country_code"":""SG"",""st_event_name"":""log_interface_client"",""st_pk_id"":""c8bc8f26-d4d9-4933-9c63-41b31b706aec"",""properties"":{""adid"":"""",""extend"":"""",""platform_type"":""web"",""api_url"":""/api/data/flow/self"",""error_message"":"""",""request_id"":""usage-summary-1"",""response_time"":""172"",""status"":""yes""},""st_unique_id"":""60f07829-dda9-41f0-9350-39d0cef3bf65"",""st_distinct_id"":""091ec7d4-cf76-4204-a2ce-71237dc135e2"",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_account_id"":""6"",""st_os"":""PC"",""st_system_language"":""ZH-CN"",""st_user_id"":""0000da95-3d1f-475c-aba1-948e59102038""}",,1,,{},1783735506992,2026-07-11 02:05:07.049328,1783735505000
2026-07-11,log_page_expose_client,2026-07-11,5_1126,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_extend_info"":""{\""system_time\"":1783735504408,\""local_time\"":1783735504276,\""diff\"":132}"",""st_event_time"":1783735503770,""st_os"":""PC"",""st_city"":""新加坡"",""st_unique_id"":""aa6b61d9-85e5-4f9c-ad3a-18dbe3238784"",""st_ip"":""188.253.121.101"",""st_save_time"":1783735505,""st_pk_id"":""de11c3dd-cc9f-4faa-be62-0b7619aeffa3"",""st_event_name"":""log_page_expose_client"",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_province"":"""",""st_system_language"":""ZH-CN"",""st_country_code"":""SG"",""st_role_id"":""6"",""st_user_id"":""0000da95-3d1f-475c-aba1-948e59102038"",""properties"":{""adid"":"""",""extend"":"""",""platform_type"":""web"",""current_page_name"":""usage_page"",""current_page_url"":""https://odirouter.ai/en/dashboard/usage"",""ref_page_url"":""https://odirouter.ai/en/dashboard/usage""},""st_distinct_id"":""091ec7d4-cf76-4204-a2ce-71237dc135e2"",""st_country"":""新加坡"",""st_account_id"":""6""}",,1,,{},1783735506993,2026-07-11 02:05:07.049456,1783735505000
2026-07-11,log_interface_client,2026-07-11,1_1050,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_distinct_id"":""091ec7d4-cf76-4204-a2ce-71237dc135e2"",""st_unique_id"":""b47097be-f522-405f-87b7-31e0d5043a76"",""st_user_id"":""0000da95-3d1f-475c-aba1-948e59102038"",""st_system_language"":""ZH-CN"",""st_save_time"":1783735505,""st_account_id"":""6"",""st_country"":""新加坡"",""st_city"":""新加坡"",""st_country_code"":""SG"",""st_pk_id"":""495059da-96a8-4dcd-a2cd-2f8a0e79f6a9"",""st_event_time"":1783735503982,""properties"":{""api_url"":""/api/user/self/log"",""error_message"":"""",""request_id"":""usage-history-1"",""response_time"":""179"",""status"":""yes"",""adid"":"""",""extend"":"""",""platform_type"":""web""},""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_event_name"":""log_interface_client"",""st_extend_info"":""{\""system_time\"":1783735504408,\""local_time\"":1783735504276,\""diff\"":132}"",""st_os"":""PC"",""st_ip"":""188.253.121.101"",""st_role_id"":""6"",""st_province"":""""}",,1,,{},1783735506992,2026-07-11 02:05:07.049548,1783735505000
2026-07-11,log_page_expose_client,2026-07-11,6_1088,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_extend_info"":""{\""system_time\"":1783735506644,\""local_time\"":1783735506512,\""diff\"":132}"",""st_country"":""新加坡"",""st_system_language"":""ZH-CN"",""st_pk_id"":""1f96a6aa-8ef5-479c-8225-73bd28b88e6c"",""properties"":{""current_page_name"":""credits_page"",""current_page_url"":""https://odirouter.ai/en/dashboard/credits"",""ref_page_url"":""https://odirouter.ai/en/dashboard/usage"",""adid"":"""",""extend"":"""",""platform_type"":""web""},""st_role_id"":""6"",""st_event_time"":1783735506511,""st_os"":""PC"",""st_account_id"":""6"",""st_unique_id"":""267930ad-bde3-4566-9262-0d077e1f91b6"",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_user_id"":""0000da95-3d1f-475c-aba1-948e59102038"",""st_event_name"":""log_page_expose_client"",""st_country_code"":""SG"",""st_distinct_id"":""091ec7d4-cf76-4204-a2ce-71237dc135e2"",""st_province"":"""",""st_save_time"":1783735510,""st_ip"":""188.253.121.101"",""st_city"":""新加坡""}",,1,,{},1783735512156,2026-07-11 02:05:12.252725,1783735510000
2026-07-11,log_page_expose_client,2026-07-11,6_1089,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_province"":"""",""st_pk_id"":""46ad14e5-6605-4fdf-ad43-fd9f3a9eb4de"",""st_unique_id"":""0bb900a9-5e33-4631-9264-5fdb3817c430"",""st_ip"":""188.253.121.101"",""st_city"":""新加坡"",""st_event_time"":1783735509484,""st_event_name"":""log_page_expose_client"",""st_distinct_id"":""091ec7d4-cf76-4204-a2ce-71237dc135e2"",""st_save_time"":1783735510,""st_system_language"":""ZH-CN"",""st_account_id"":""6"",""st_country_code"":""SG"",""properties"":{""current_page_name"":""credits_page"",""current_page_url"":""https://odirouter.ai/en/dashboard/credits"",""ref_page_url"":""https://odirouter.ai/en/dashboard/usage"",""adid"":"""",""extend"":"""",""platform_type"":""web""},""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_country"":""新加坡"",""st_os"":""PC"",""st_extend_info"":""{\""system_time\"":1783735510123,\""local_time\"":1783735509997,\""diff\"":126}"",""st_user_id"":""0000da95-3d1f-475c-aba1-948e59102038"",""st_role_id"":""6""}",,1,,{},1783735512156,2026-07-11 02:05:12.252841,1783735510000
2026-07-11,log_page_expose_client,2026-07-11,4_1069,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_country_code"":""SG"",""st_province"":"""",""st_save_time"":1783735512,""st_ip"":""188.253.121.101"",""st_extend_info"":""{\""system_time\"":1783735511694,\""local_time\"":1783735511557,\""diff\"":137}"",""st_os"":""PC"",""st_country"":""新加坡"",""properties"":{""platform_type"":""web"",""current_page_name"":""credits_page"",""current_page_url"":""https://odirouter.ai/en/dashboard/credits"",""ref_page_url"":""https://odirouter.ai/en/dashboard/usage"",""adid"":"""",""extend"":""""},""st_city"":""新加坡"",""st_distinct_id"":""091ec7d4-cf76-4204-a2ce-71237dc135e2"",""st_event_time"":1783735511056,""st_unique_id"":""d727bd3f-c4a0-4fbd-b5d8-3087f0a3bb2e"",""st_event_name"":""log_page_expose_client"",""st_pk_id"":""35f4a536-cfdf-4b92-b27a-eed5183b9408"",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_account_id"":""6"",""st_role_id"":""6"",""st_user_id"":""0000da95-3d1f-475c-aba1-948e59102038"",""st_system_language"":""ZH-CN""}",,1,,{},1783735514173,2026-07-11 02:05:14.254007,1783735512000
2026-07-11,log_page_expose_client,2026-07-11,0_1033,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_unique_id"":""ce8755fd-60c0-4a54-9832-58d3f1c5d0da"",""st_country_code"":""SG"",""st_system_language"":""ZH-CN"",""st_save_time"":1783735513,""st_pk_id"":""a2d0b765-5351-4752-b718-194044e45b99"",""st_role_id"":""6"",""st_province"":"""",""st_distinct_id"":""091ec7d4-cf76-4204-a2ce-71237dc135e2"",""st_country"":""新加坡"",""st_event_name"":""log_page_expose_client"",""st_extend_info"":""{\""system_time\"":1783735512865,\""local_time\"":1783735512749,\""diff\"":116}"",""st_user_id"":""0000da95-3d1f-475c-aba1-948e59102038"",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""properties"":{""platform_type"":""web"",""current_page_name"":""credits_page"",""current_page_url"":""https://odirouter.ai/en/dashboard/credits"",""ref_page_url"":""https://odirouter.ai/en/dashboard/usage"",""adid"":"""",""extend"":""""},""st_event_time"":1783735512144,""st_city"":""新加坡"",""st_account_id"":""6"",""st_ip"":""188.253.121.101"",""st_os"":""PC""}",,1,,{},1783735515158,2026-07-11 02:05:15.254675,1783735513000
