st_save_date,st_event_name,st_event_date,st_kafka_offset,st_source_type,st_app_key,st_raw_message,st_available_message,st_status,st_error_type,st_error_info,st_report_time,st_update_at,st_save_time
2026-07-11,log_page_expose_client,2026-07-11,2_1352,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_pk_id"":""e221e27a-e85d-4b7a-8a0d-d9e56d33cdaf"",""st_distinct_id"":""e8e7d587-2379-4ee7-8bdb-b8c220a1f257"",""st_account_id"":"""",""st_province"":""台北市"",""st_event_time"":1783765682249,""st_event_name"":""log_page_expose_client"",""st_system_language"":""ZH-CN"",""st_user_id"":""0000ff57-359d-4bbe-8fc0-70f4f6d322a2"",""properties"":{""platform_type"":""web"",""current_page_name"":""login_page"",""current_page_url"":""https://odirouter.ai/en/login"",""ref_page_url"":""https://odirouter.ai/en"",""adid"":"""",""extend"":""""},""st_ip"":""185.220.236.67"",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_os"":""PC"",""st_role_id"":"""",""st_country"":""台湾"",""st_country_code"":""TW"",""st_unique_id"":""a22261cb-648e-48ee-9428-d74486c48c7a"",""st_save_time"":1783765682,""st_extend_info"":""{\""system_time\"":1783765682157,\""local_time\"":1783765682255,\""diff\"":-98}"",""st_city"":""台北市""}",,1,,{},1783765684021,2026-07-11 10:28:04.108558,1783765682000
2026-07-11,log_page_expose_client,2026-07-11,1_1438,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_extend_info"":""{\""system_time\"":1783765696266,\""local_time\"":1783765696364,\""diff\"":-98}"",""st_city"":""台北市"",""properties"":{""adid"":"""",""extend"":"""",""platform_type"":""web"",""current_page_name"":""home_page"",""current_page_url"":""https://odirouter.ai/en/dashboard/home"",""ref_page_url"":""https://odirouter.ai/en/login""},""st_system_language"":""ZH-CN"",""st_event_time"":1783765696362,""st_country_code"":""TW"",""st_role_id"":""15"",""st_pk_id"":""572a7952-cfb9-4833-88a9-50d5b5aa2b5d"",""st_distinct_id"":""e8e7d587-2379-4ee7-8bdb-b8c220a1f257"",""st_ip"":""185.220.236.67"",""st_country"":""台湾"",""st_province"":""台北市"",""st_save_time"":1783765697,""st_os"":""PC"",""st_event_name"":""log_page_expose_client"",""st_user_id"":""0000ff57-359d-4bbe-8fc0-70f4f6d322a2"",""st_account_id"":""15"",""st_unique_id"":""e5da7658-1f7c-4c15-b3bd-0d338ddeaf66""}",,1,,{},1783765699033,2026-07-11 10:28:19.118164,1783765697000
2026-07-11,log_page_expose_client,2026-07-11,10_1458,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_account_id"":""15"",""st_distinct_id"":""e8e7d587-2379-4ee7-8bdb-b8c220a1f257"",""st_country"":""台湾"",""properties"":{""ref_page_url"":""https://odirouter.ai/en"",""adid"":"""",""extend"":"""",""platform_type"":""web"",""current_page_name"":""home_page"",""current_page_url"":""https://odirouter.ai/en/dashboard/home""},""st_role_id"":""15"",""st_unique_id"":""a31a4ff8-0557-458b-b1a5-448f3c9f1499"",""st_city"":""台北市"",""st_system_language"":""ZH-CN"",""st_event_name"":""log_page_expose_client"",""st_ip"":""185.220.236.67"",""st_event_time"":1783765736944,""st_province"":""台北市"",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_save_time"":1783765739,""st_pk_id"":""56fa5aad-fc04-4603-a5b2-574c1ef110c2"",""st_os"":""PC"",""st_country_code"":""TW"",""st_extend_info"":""{\""system_time\"":1783765738322,\""local_time\"":1783765738475,\""diff\"":-153}"",""st_user_id"":""0000ff57-359d-4bbe-8fc0-70f4f6d322a2""}",,1,,{},1783765740641,2026-07-11 10:29:00.744207,1783765739000
2026-07-11,log_page_expose_client,2026-07-11,9_1365,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_unique_id"":""86b09385-f2a9-4ebc-acd3-c76c3cecc382"",""st_save_time"":1783765740,""st_user_id"":""0000a5ad-9218-4a7e-8360-d64db3e1ae34"",""st_event_name"":""log_page_expose_client"",""st_system_language"":""ZH-CN"",""st_distinct_id"":""05a97110-fe63-4544-9af2-d33f2a8cf751"",""st_country"":""香港"",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_account_id"":"""",""st_extend_info"":""{\""system_time\"":1783765740057,\""local_time\"":1783765740008,\""diff\"":49}"",""st_country_code"":""HK"",""st_city"":""香港"",""st_os"":""PC"",""st_ip"":""8.210.73.18"",""st_province"":"""",""st_pk_id"":""c243bd28-6648-4ebe-9228-436d0d0c51d3"",""st_event_time"":1783765738450,""properties"":{""current_page_url"":""https://odirouter.ai/openrouter"",""ref_page_url"":"""",""adid"":"""",""extend"":"""",""platform_type"":""web"",""current_page_name"":""openrouter_page""},""st_role_id"":""""}",,1,,{},1783765742642,2026-07-11 10:29:02.745526,1783765740000
2026-07-11,log_page_expose_client,2026-07-11,0_1392,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_extend_info"":""{\""system_time\"":1783765748099,\""local_time\"":1783765748050,\""diff\"":49}"",""st_pk_id"":""b797f0ab-581b-400c-ab6e-121f247b1f37"",""st_country"":""香港"",""st_os"":""PC"",""st_save_time"":1783765748,""st_unique_id"":""cb91634e-bc50-4c4b-bc7a-244df876343c"",""st_event_name"":""log_page_expose_client"",""st_event_time"":1783765748048,""st_distinct_id"":""05a97110-fe63-4544-9af2-d33f2a8cf751"",""st_account_id"":"""",""st_country_code"":""HK"",""st_system_language"":""ZH-CN"",""st_user_id"":""0000a5ad-9218-4a7e-8360-d64db3e1ae34"",""st_role_id"":"""",""st_province"":"""",""st_city"":""香港"",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""properties"":{""adid"":"""",""extend"":"""",""platform_type"":""web"",""current_page_name"":""public_model_page"",""current_page_url"":""https://odirouter.ai/models"",""ref_page_url"":""https://odirouter.ai/openrouter""},""st_ip"":""8.210.73.18""}",,1,,{},1783765750069,2026-07-11 10:29:10.150380,1783765748000
2026-07-11,log_page_expose_client,2026-07-11,6_1469,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_user_id"":""00001173-4f76-481d-8b8f-24a20c061422"",""st_pk_id"":""4cf443b9-b044-4109-b190-e6bfecf065e9"",""st_distinct_id"":""08d40d4f-d5e2-4e23-bcca-cf6cf4ba5c0f"",""st_extend_info"":""{\""system_time\"":1783765751325,\""local_time\"":1783765751371,\""diff\"":-46}"",""st_unique_id"":""a34fd916-f57d-4a5c-8e3b-cb56ca7e2d82"",""st_ip"":""188.253.121.105"",""properties"":{""adid"":"""",""extend"":"""",""platform_type"":""web"",""current_page_name"":""public_home_page"",""current_page_url"":""https://odirouter.ai/"",""ref_page_url"":""""},""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_os"":""PC"",""st_city"":""新加坡"",""st_province"":"""",""st_event_time"":1783765749389,""st_save_time"":1783765752,""st_role_id"":"""",""st_event_name"":""log_page_expose_client"",""st_country_code"":""SG"",""st_country"":""新加坡"",""st_system_language"":""ZH-CN"",""st_account_id"":""""}",,1,,{},1783765753651,2026-07-11 10:29:13.752401,1783765752000
2026-07-11,log_page_expose_client,2026-07-11,7_1479,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_event_time"":1783765758389,""st_distinct_id"":""05a97110-fe63-4544-9af2-d33f2a8cf751"",""st_extend_info"":""{\""system_time\"":1783765758449,\""local_time\"":1783765758400,\""diff\"":49}"",""st_account_id"":"""",""st_ip"":""8.210.73.18"",""st_province"":"""",""st_save_time"":1783765759,""st_event_name"":""log_page_expose_client"",""st_unique_id"":""6c003ad2-cdd2-4e35-83cb-d01a7c5ec78b"",""st_user_id"":""0000a5ad-9218-4a7e-8360-d64db3e1ae34"",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_country_code"":""HK"",""st_country"":""香港"",""st_system_language"":""ZH-CN"",""st_pk_id"":""f0413159-d2a6-4ee9-9287-38950b312cc4"",""properties"":{""current_page_url"":""https://odirouter.ai/pricing"",""ref_page_url"":""https://odirouter.ai/models"",""adid"":"""",""extend"":"""",""platform_type"":""web"",""current_page_name"":""public_pricing_page""},""st_city"":""香港"",""st_os"":""PC"",""st_role_id"":""""}",,1,,{},1783765761077,2026-07-11 10:29:21.157085,1783765759000
2026-07-11,log_page_expose_client,2026-07-11,4_1427,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_extend_info"":""{\""system_time\"":1783765770042,\""local_time\"":1783765770100,\""diff\"":-58}"",""st_system_language"":""ZH-CN"",""st_unique_id"":""72688a3a-266e-4c65-8ebf-b6ff85a47364"",""st_save_time"":1783765770,""st_distinct_id"":""08d40d4f-d5e2-4e23-bcca-cf6cf4ba5c0f"",""st_city"":""新加坡"",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_event_time"":1783765768515,""st_os"":""PC"",""st_province"":"""",""properties"":{""platform_type"":""web"",""current_page_name"":""public_home_page"",""current_page_url"":""https://odirouter.ai/"",""ref_page_url"":"""",""adid"":"""",""extend"":""""},""st_ip"":""188.253.121.105"",""st_country_code"":""SG"",""st_pk_id"":""768f2dac-d88d-4f81-8d87-66a13fab86f6"",""st_event_name"":""log_page_expose_client"",""st_account_id"":"""",""st_role_id"":"""",""st_country"":""新加坡"",""st_user_id"":""00001173-4f76-481d-8b8f-24a20c061422""}",,1,,{},1783765772085,2026-07-11 10:29:32.164041,1783765770000
2026-07-11,log_interface_client,2026-07-11,1_1439,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_role_id"":"""",""st_system_language"":""ZH-CN"",""st_os"":""PC"",""st_ip"":""8.210.73.18"",""st_province"":"""",""st_event_time"":1783765760720,""st_country_code"":""HK"",""st_user_id"":""0000a5ad-9218-4a7e-8360-d64db3e1ae34"",""st_city"":""香港"",""properties"":{""request_id"":""pricing-1"",""response_time"":""2333"",""status"":""yes"",""adid"":"""",""extend"":"""",""platform_type"":""web"",""api_url"":""/api/pricing"",""error_message"":""""},""st_event_name"":""log_interface_client"",""st_country"":""香港"",""st_account_id"":"""",""st_extend_info"":""{\""system_time\"":1783765760769,\""local_time\"":1783765760720,\""diff\"":49}"",""st_save_time"":1783765770,""st_pk_id"":""7fbffe2f-4100-49e5-954e-2d72238d83ce"",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""st_distinct_id"":""05a97110-fe63-4544-9af2-d33f2a8cf751"",""st_unique_id"":""35d1b256-e068-4a56-a1aa-9ba1bdb62699""}",,1,,{},1783765772663,2026-07-11 10:29:32.764452,1783765770000
2026-07-11,log_interface_client,2026-07-11,10_1459,event_track,618025f4e02aff8f3e35df5d2891cc47,"{""st_province"":"""",""st_event_time"":1783765759528,""st_pk_id"":""40f14145-f5f4-4dcf-8e09-fff35f0e60bc"",""st_account_id"":"""",""st_user_id"":""0000a5ad-9218-4a7e-8360-d64db3e1ae34"",""st_distinct_id"":""05a97110-fe63-4544-9af2-d33f2a8cf751"",""st_city"":""香港"",""st_role_id"":"""",""st_country"":""香港"",""st_country_code"":""HK"",""st_extend_info"":""{\""system_time\"":1783765759578,\""local_time\"":1783765759529,\""diff\"":49}"",""st_ip"":""8.210.73.18"",""st_system_language"":""ZH-CN"",""st_os"":""PC"",""st_app_key"":""618025f4e02aff8f3e35df5d2891cc47"",""properties"":{""api_url"":""/api/exchange-rate/usd-rub"",""error_message"":"""",""request_id"":""exchange-rate-24210"",""response_time"":""1140"",""status"":""yes"",""adid"":"""",""extend"":"""",""platform_type"":""web""},""st_save_time"":1783765770,""st_unique_id"":""b21b787c-8f7f-4d1d-8f52-80f9b5b89e9f"",""st_event_name"":""log_interface_client""}",,1,,{},1783765772663,2026-07-11 10:29:32.764584,1783765770000
